ID,First_Name,Last_Name,Full_Name,Month_Of_Birth,Day_Of_Birth,Year_Of_Birth,Salary,Age,,,,,,,,,
,Kathryn,Sanders,,December,21,1967,247205,,,,,,,7,July,,
,Brenda,Brooks,,October,31,1948,169273,,,,,,,6,June,,
,Nancy,Martin,,January,12,1921,480399,,,,,,,21,September,,
,Barbara,Stewart,,March,10,1981,351893,,,,,,,6,June,,
,Paul,Morgan,,July,31,1961,70936,,,,,,,18,June,,
,Julia,Baker,,February,2,1925,481378,,,,,,,15,March,,
,Mary,Cooper,,July,13,1952,351695,,,,,,,9,September,,
,Louis,Howard,,March,19,1959,307379,,,,,,,12,December,,
,Carlos,Scott,,January,23,1999,295025,,,,,,,9,September,,
,Lisa,Phillips,,May,23,1963,107311,,,,,,,1,January,,
,Angela,Simmons,,September,4,1932,480199,,,,,,,5,May,,
,Sandra,Lee,,February,13,1904,374489,,,,,,,10,October,,
,Victor,Williams,,June,18,1914,291018,,,,,,,24,December,,
,Patricia,Thomas,,November,12,1917,395166,,,,,,,21,September,,
,Virginia,Long,,February,7,1918,153781,,,,,,,11,November,,
,Donald,Clark,,July,25,1999,130470,,,,,,,4,April,,
,Rebecca,Morris,,December,2,1948,334341,,,,,,,5,May,,
,Jason,Sanchez,,January,17,2001,320399,,,,,,,14,February,,
,Gerald,Rodriguez,,January,17,1990,198157,,,,,,,3,March,,
,Diane,Diaz,,December,17,1967,217890,,,,,,,24,December,,
,Johnny,Russell,,November,27,1993,249401,,,,,,,9,September,,
,Tina,Harris,,May,3,1959,412371,,,,,,,18,June,,
,Earl,Gray,,May,8,2000,441183,,,,,,,3,March,,
,Deborah,Mitchell,,October,25,1976,336360,,,,,,,8,August,,
,Elizabeth,Murphy,,November,26,1986,152645,,,,,,,19,July,,
,Nicholas,Taylor,,November,1,1963,221306,,,,,,,10,October,,
,Peter,Nelson,,June,29,1910,150737,,,,,,,23,November,,
,Denise,Perry,,March,13,1934,377550,,,,,,,16,April,,
,Ralph,Price,,April,6,1961,151648,,,,,,,9,September,,
,Stephen,Robinson,,December,25,1916,415523,,,,,,,24,December,,
,Dorothy,King,,March,28,1929,487024,,,,,,,21,September,,
,Joyce,Ward,,February,30,1999,464565,,,,,,,17,May,,
,Gary,James,,August,16,1980,138531,,,,,,,4,April,,
,Joan,Perez,,October,7,1908,59987,,,,,,,14,February,,
,Emily,Walker,,March,10,1973,81037,,,,,,,7,July,,
,George,Wood,,May,30,1913,458184,,,,,,,15,March,,
,Alice,Turner,,August,17,1957,373120,,,,,,,7,July,,
,Karen,Young,,July,15,1927,414004,,,,,,,20,August,,
,Roger,Hughes,,July,2,2001,418069,,,,,,,24,December,,
,Daniel,Moore,,August,20,1928,272165,,,,,,,2,February,,
,Jose,Roberts,,August,7,1932,381596,,,,,,,17,May,,
,Jean,Henderson,,August,25,1952,465640,,,,,,,22,October,,
,Michael,Cox,,April,26,1993,389006,,,,,,,15,March,,
,Jessica,Brown,,June,27,1961,425940,,,,,,,9,September,,
,Arthur,White,,June,5,1979,154934,,,,,,,10,October,,
,Albert,Smith,,October,28,1945,218189,,,,,,,10,October,,
,Chris,Collins,,July,1,1924,55286,,,,,,,10,October,,
,Lori,Wright,,August,10,1994,303325,,,,,,,23,November,,
,Cheryl,Parker,,December,1,1938,72206,,,,,,,16,April,,
,John,Jackson,,May,14,1947,248714,,,,,,,8,August,,
,David,Allen,,January,5,1954,131417,,,,,,,1,January,,
,Juan,Coleman,,August,21,1940,344791,,,,,,,11,November,,
,Paula,Alexander,,August,15,1939,131326,,,,,,,9,September,,
,Anne,Anderson,,January,18,1934,133517,,,,,,,11,November,,
,Justin,Cook,,October,11,1950,478547,,,,,,,14,February,,
,Henry,Adams,,February,9,1908,121920,,,,,,,6,June,,
,Christine,Bryant,,July,31,1951,328491,,,,,,,23,November,,
,Rachel,Gonzales,,March,28,1949,228342,,,,,,,7,July,,
,Brandon,Martinez,,April,7,1964,379384,,,,,,,15,March,,
,Margaret,Rogers,,June,24,1953,104641,,,,,,,16,April,,
